TransactionID,Date,Product_Name,Category,Supplier,Units_Ordered,Units_Received,Units_Sold,Stock_On_Hand,Lead_Time_Days,Stockout_Flag,Region
SCL00001,04/05/2024,Bread 400g,Bakery,Bidco Africa,138,122,30,139,14,No,Ngong Road
SCL00002,27/01/2024,Chicken 1kg,Meat,Twiga Foods,255,249,41,223,8,No,Westlands
SCL00003,20/02/2023,Sugar 2kg,Grocery,Bidco Africa,363,362,313,114,4,No,Eastleigh
SCL00004,13/07/2023,Eggs Tray 30,Eggs,Twiga Foods,63,60,55,105,14,No,Kiambu
SCL00005,16/06/2024,Pampers Size 4,Baby,Export Trading Group,65,56,33,92,8,No,Karen
SCL00006,12/09/2024,Indomie Noodles,Noodles,Bidco Africa,66,65,38,97,13,No,Thika Road
SCL00007,12/10/2023,Omo 1kg,Detergent,KFC Supply,276,240,75,258,12,No,Eastleigh
SCL00008,12/04/2024,Bread 400g,Bakery,Export Trading Group,254,250,223,122,20,No,Mombasa Road
SCL00009,06/12/2023,Sugar 2kg,Grocery,KFC Supply,487,456,206,279,19,No,Westlands
SCL00010,14/06/2023,Bread 400g,Bakery,KFC Supply,487,452,199,290,13,No,Karen
SCL00011,13/11/2024,Omo 1kg,Detergent,Bakeries Ltd,474,439,309,165,20,No,Thika Road
SCL00012,26/12/2023,Tomatoes 1kg,Produce,Brookside Dairy,423,404,287,166,12,No,Westlands
SCL00013,25/08/2024,Bread 400g,Bakery,Twiga Foods,62,54,48,58,3,No,Karen
SCL00014,07/08/2023,Indomie Noodles,Noodles,Twiga Foods,123,109,103,103,6,No,Thika Road
SCL00015,07/04/2023,Ketepa Tea 100bags,Tea,Bakeries Ltd,348,321,130,209,7,No,Westlands
SCL00016,19/11/2023,Colgate 100g,Personal Care,Twiga Foods,182,161,64,190,12,No,Ngong Road
SCL00017,09/02/2024,Potatoes 2kg,Produce,Chandaria Industries,500,471,339,228,16,No,Thika Road
SCL00018,06/06/2024,Eggs Tray 30,Eggs,Brookside Dairy,128,121,115,59,12,No,Westlands
SCL00019,22/08/2023,Eggs Tray 30,Eggs,KFC Supply,55,50,46,49,13,No,Mombasa Road
SCL00020,24/09/2023,Bread 400g,Bakery,Export Trading Group,84,82,49,126,18,No,Karen
SCL00021,27/09/2024,Rice 2kg,Grain,KFC Supply,366,340,199,183,5,No,Eastleigh
SCL00022,08/09/2024,Eggs Tray 30,Eggs,Twiga Foods,129,121,44,119,9,No,Kiambu
SCL00023,29/10/2024,Potatoes 2kg,Produce,Brookside Dairy,143,127,110,26,5,Yes,Eastleigh
SCL00024,20/09/2024,Brookside Milk 500ml,Dairy,KWAL,80,80,67,28,20,Yes,Karen
SCL00025,01/11/2023,Chicken 1kg,Meat,Chandaria Industries,165,144,63,158,10,No,Kiambu
SCL00026,13/02/2024,Indomie Noodles,Noodles,Unga Group,335,298,251,138,11,No,Ngong Road
SCL00027,22/11/2023,Bread 400g,Bakery,KWAL,151,143,88,135,3,No,Ngong Road
SCL00028,28/06/2024,Cooking Oil 2L,Oil,Unga Group,429,370,313,76,5,No,Kiambu
